,sample,habitat,X,batch,weight..g.,sex,total.length..mm.,dC,dN,tr_posit,Zooplankton.diet..from.MixSIA.,DFA.scores..littoral....pelagic.,age.gr,age,group,condition,last.year.gowth.g.lnL2.lnL1,X14.00,i.15.0,ai.15.0,X15.00,i.16.0,ai.16.0,X16.00,X16.01,X16.1n.9,X16.1n.7,X16.1n.5,i.17.0,ai.17.0,X17.00,X17.01,X18.00,X18.1n,X18.1n.9,X18.1n.7,X18.1n.5,X18.2n.6,X19.00,X18.3n.6,X18.3n.3..ALA.,X18.4n.3..SDA.,X20.00,X20.1n.9,X20.2n.6,X20.4n.6..ARA.,X20.3n.3,X20.4n.3,X20.5n.3..EPA.,X22.00,X22.4n.6,X22.5n.6,X22.5n.3..DPA.,X22.6n.3..DHA.,X24.1n.9,sumPUFAS,w3,w6,w3.w6,sumMUFAS,pelagic.diet.over..benthic.pelagic.,piscivory,lines.LP,lines.LL,Lines.P,Lines.pisc,cluster2,hab_age,hab_age.num,cluster3,X.4,X.5,wrong.clasif,X.2,L1,L2,L3,L4,L5,L6,X.1,L.t.,hab_age.num2,cla,cla.sd,cop,cop.sd,kcluster_hab.num,finalcluster.n,final.cluster,bg,fish,litt,pel,fish.sd,lit.sd,pel.sd,epa.ara,dha.ara,bact,SAFA,percfish,perclitt,percpel
1,L01,littoral,NA,b7,14.01,,106,-23.69,10.28,3.110333,0.166,0.73117954,1,1,LL,1.1763066,0.35300093,0.6091688,0.16804941,0.048381931,0.2661361,0.67693495,0.07080678,20.88773,0.1643933,0.2537682,2.32597,0.3943055,0.2940255,0.09315071,0.7878852,0.1838266,7.267584,0.065027187,3.464153,4.780304,0.03957121,1.752981,0.33440034,0.17349311,1.9421025,0.6725148,0.11592431,0.0484048,0.122810316,5.871646,0.13010816,0.2242914,18.270298,0.14070243,0.3562728,0.8793609,3.793775,21.74354,0.5862027,55.93319,46.77663,9.156565,5.108535,11.719725,0.3,non-piscivorous,NA,1,NA,NA,1,littoral 1,19,1,NA,NA,,,74.47,NA,NA,NA,NA,NA,NA,NA,19,0.174,0.086,0.062,0.045,green3,green3,LB,NA,0.189,0.574,0.236,0.1,0.116,0.097061836,3.111614358,3.703142185,2.739770921,30.40953118,18.9,57.4,23.6
2,L02,littoral,NA,b7,10.72,,100,-25.15,11.14,3.363652,0.581,1.08231569,1,1,LL,1.072,0.33639624,0.902522,0.27548127,0.1140788,0.3696605,0.74138544,0.16900039,18.51682,0.2791353,0.4350967,2.436828,0.4286138,0.5977639,0.26291308,1.0073524,0.2934659,7.19595,0.20102805,4.474127,3.78334,0.06908579,2.301715,0.2418359,0.20966309,2.9017063,0.8757759,0.14768732,0.09076776,0.109926795,6.001713,0.3238295,0.3293795,13.999524,0.12338983,0.4651473,1.5810781,2.91195,23.89042,0.940841,55.90183,45.23259,10.669243,4.239531,12.491489,0.394,non-piscivorous,NA,1,NA,NA,1,littoral 1,19,1,NA,NA,,,71.43,NA,NA,NA,NA,NA,NA,NA,19,0.178,0.132,0.091,0.091,green3,green3,LB,NA,0.269,0.461,0.269,0.184,0.194,0.160327789,2.332588046,3.980600205,3.77947168,28.50521795,26.9,46.1,26.9
3,L03R,littoral,NA,b6,11.93,,103,-25.67,11.77,3.548577,0.678,-0.65872971,1,1,LL,1.091764,0.23971209,0.8812549,0.19381612,0.062982708,0.3136836,0.44916301,0.10440295,19.78373,0.205901,0.3975227,2.39126,0.313472,0.3752192,0.14237942,0.8924596,0.2719408,7.477221,0.082046857,4.543498,3.464355,0.03696707,2.46905,0.15695764,0.19462651,3.3045442,0.7984649,0.13512415,0.07539902,0.114449966,5.716113,0.21793097,0.2713345,14.137832,0.10605143,0.2701857,1.6711631,2.305459,24.92358,0.7484547,56.39474,45.95915,10.435588,4.404079,11.782362,0.431,non-piscivorous,NA,1,NA,NA,2,littoral 1,19,1,NA,NA,,,81.05,NA,NA,NA,NA,NA,NA,NA,19,0.172,0.126,0.115,0.114,green3,black,Pisc,1,0.338,0.375,0.287,0.204,0.189,0.169917627,2.473329691,4.360232207,2.691064248,29.74648232,33.8,37.5,28.7
4,L04,littoral,NA,b13,7.8,,93,-24.01,9.55,2.896248,0.088,-0.31930666,1,1,LL,0.9697187,0.36891545,0.8510292,0.28286621,0.120673614,0.3843643,0.4644247,0.12660323,18.16772,0.1903846,0.350277,3.408103,0.4066054,0.4359049,0.23442199,0.9233236,0.2839192,7.430358,0.115939304,4.800701,4.521278,0.0558016,3.383911,0.12988664,0.20358978,2.5037849,0.839857,0.16992911,0.09510834,0.173744207,6.743292,0.15602569,0.2643924,14.87612,0.14531368,0.5044653,1.4302595,2.368439,21.79173,0.6654534,55.23961,42.80035,12.439262,3.440747,14.228118,0.312,non-piscivorous,NA,1,NA,NA,1,littoral 1,19,1,NA,NA,,,64.31,NA,NA,NA,NA,NA,NA,NA,19,0.173,0.139,0.049,0.053,green3,green3,LB,NA,0.134,0.645,0.222,0.124,0.175,0.148761554,2.206061965,3.231615953,3.102469184,28.20192453,13.4,64.5,22.2
5,L05,littoral,NA,b6,10.07,,102,-26.65,10.49,3.17408,0.593,1.26434837,1,1,LP,0.9489186,0.26276193,1.0364667,0.41970522,0.210564857,0.3953062,0.37235868,0.10502919,19.11531,0.2850853,0.546762,2.602498,0.3643553,0.4184031,0.12469013,0.8700251,0.2652443,6.427351,0.048890106,5.180736,3.423226,0.04064429,2.876206,0.12106308,0.18961494,3.2750585,1.5599983,0.15876325,0.09923611,0.159900436,7.698126,0.13197013,0.4032458,14.300591,0.10614413,0.3757495,2.0349017,1.936514,21.4594,0.8608633,56.40128,43.06678,13.3345,3.229726,12.856678,0.508,non-piscivorous,1,NA,NA,NA,3,littoral 1,19,2,NA,NA,,,78.43,NA,NA,NA,NA,NA,NA,NA,19,0.407,0.122,0.241,0.098,blue,blue,LP,NA,0.229,0.123,0.648,0.103,0.083,0.156486421,1.857671724,2.787613505,3.037145557,28.23042946,22.9,12.3,64.8
6,L06,littoral,NA,b6,12.4,,107,-25.56,11.12,3.360015,0.603,-0.37894565,1,1,LL,1.0122094,0.29304514,1.0682196,0.21865312,0.105513802,0.2800422,0.41344564,0.07975401,19.3212,0.2342627,0.3939214,3.049782,0.3509818,0.3023105,0.09729143,0.8533514,0.2547521,6.981377,0.02904525,4.650016,3.279481,0.02305058,2.506112,0.18841189,0.24242652,2.5546038,1.1051394,0.15076413,0.08419655,0.21406914,5.978843,0.09962964,0.2774644,14.394608,0.1059733,0.3039919,2.0728757,2.394719,24.52478,0.8149413,56.66926,45.35094,11.318318,4.006862,12.349489,0.426,non-piscivorous,NA,1,NA,NA,1,littoral 1,19,1,NA,NA,,,79.82,NA,NA,NA,NA,NA,NA,NA,19,0.203,0.144,0.104,0.102,green3,green3,LB,NA,0.27,0.424,0.307,0.188,0.19,0.176465294,2.4075909,4.101927413,2.538773992,28.94933952,27,42.4,30.7
7,L07,littoral,NA,b6,12.95,,105,-27.58,11.26,3.400889,0.773,0.43505073,1,1,LP,1.1186697,0.28975596,1.0459799,0.38069287,0.195709273,0.4192154,0.32438302,0.10249491,19.73597,0.3013894,0.4876891,2.191367,0.4444555,0.3934138,0.10617741,0.8507893,0.2307509,6.467032,0.018200773,4.579316,3.055524,0.03839211,2.134984,0.11624182,0.14550577,3.0121764,1.5832176,0.13658482,0.0774804,0.219673496,7.35347,0.12854434,0.4097591,13.837366,0.08789146,0.4018287,2.1461181,2.050216,24.04723,0.7427622,57.47009,45.06851,12.40158,3.634094,11.424566,0.583,non-piscivorous,1,NA,NA,NA,3,littoral 1,19,2,NA,NA,,,78.59,NA,NA,NA,NA,NA,NA,NA,19,0.369,0.186,0.283,0.165,blue,blue,LP,NA,0.234,0.114,0.652,0.156,0.102,0.248638291,1.881746441,3.270188088,2.889117803,28.8597047,23.4,11.4,65.2
8,L08,littoral,NA,b6,13.02,,108,-27.55,11.2,3.382827,0.761,-4.6579053,1,1,LP,1.0335696,0.30831151,1.1097722,0.38700216,0.223565173,0.3852213,0.3481176,0.10224855,19.09221,0.2983719,0.5250942,2.423189,0.4127219,0.3973195,0.11806513,0.8144807,0.2370329,6.40892,0.037174464,5.222063,2.857932,0.03642607,2.161678,0.11084395,0.16278123,3.3003832,2.0225619,0.13890476,0.0809477,0.218910822,6.988157,0.15098062,0.4573577,13.55241,0.10940406,0.4330985,2.0443263,1.839668,23.95734,0.833325,57.28965,45.2807,12.008952,3.770579,12.130952,0.575,non-piscivorous,1,NA,NA,NA,3,littoral 1,19,2,NA,NA,,,79.35,NA,NA,NA,NA,NA,NA,NA,19,0.38,0.185,0.277,0.163,blue,blue,LP,NA,0.225,0.118,0.657,0.153,0.103,0.246564393,1.939339657,3.428277298,2.886864063,28.16975697,22.5,11.8,65.7
9,L09,littoral,NA,b5,15.42,,115,-24.54,11.2,3.382826,0.556,-2.28368905,1,1,LL,1.01389,0.29420624,0.5391529,0.14688234,0.045234925,0.38067,0.42742451,0.07474818,19.53086,0.1604891,0.2771307,2.494981,0.4260282,0.2134729,0.11094624,0.9282161,0.2968789,7.593175,0.047904368,3.935006,4.687964,0.02957146,2.473129,0.22671698,0.16388655,2.5100697,0.4725263,0.15842831,0.06462814,0.165900434,7.166598,0.09494673,0.1818908,15.145236,0.1396239,0.445846,1.421446,2.692306,23.63608,0.4940043,56.56986,44.73306,11.836806,3.779149,12.420582,0.354,non-piscivorous,NA,1,NA,NA,1,littoral 1,19,1,NA,NA,,,85.69,NA,NA,NA,NA,NA,NA,NA,19,0.146,0.111,0.073,0.075,green3,green3,LB,NA,0.262,0.519,0.219,0.188,0.197,0.133962681,2.113308993,3.298089275,2.554312175,29.49684319,26.2,51.9,21.9
10,L10,littoral,NA,b5,12.6,,106,-23.89,10.62,3.21209,0.306,-0.48619001,1,1,LL,1.0579203,0.33172686,0.5804697,0.14131738,0.038169531,0.3244141,0.43492492,0.0586548,20.52737,0.1328043,0.2502308,2.663454,0.4147701,0.1712807,0.05584935,0.8854512,0.2468547,7.667235,0.037353082,4.031846,5.502495,0.0313375,2.17286,0.35007617,0.20190236,2.8636954,0.6542918,0.1276668,0.05146666,0.248215355,5.363404,0.09266734,0.1954856,16.834923,0.14129191,0.3011408,1.0576068,2.944723,21.80956,0.3927434,54.74047,45.39534,9.345129,4.857648,13.362612,0.313,non-piscivorous,NA,1,NA,NA,1,littoral 1,19,1,NA,NA,,,76.07,NA,NA,NA,NA,NA,NA,NA,19,0.134,0.106,0.057,0.06,green3,green3,LB,NA,0.192,0.616,0.191,0.159,0.18,0.12180312,3.138850439,4.066365316,2.460138151,30.60397488,19.2,61.6,19.1
11,L11,littoral,NA,b5,8.55,,91,-26.62,10.75,3.248681,0.629,-3.70921884,1,1,LP,1.1345978,0.37588566,0.9499556,0.51022539,0.231541313,0.4580862,0.34431759,0.14961462,18.45492,0.3148426,0.5314094,2.984585,0.4949743,0.5492657,0.21640855,1.000906,0.3358604,6.852009,0.066600582,5.326938,4.202729,0.04983888,2.967874,0.1551961,0.17048991,3.5323833,1.1933071,0.1644859,0.093351,0.283695133,7.201742,0.1347052,0.2980833,13.699369,0.10378193,0.4295697,1.7793655,1.950915,21.30481,0.5118503,54.94631,42.11357,12.832736,3.28173,14.401129,0.508,non-piscivorous,1,NA,NA,NA,3,littoral 1,19,2,NA,NA,,,62.49,NA,NA,NA,NA,NA,NA,NA,19,0.408,0.192,0.192,0.129,blue,blue,LP,NA,0.236,0.163,0.6,0.164,0.142,0.231311478,1.902229905,2.958285648,3.615561463,28.13934073,23.6,16.3,60
12,L12,littoral,NA,b4,12.35,,104,-27.82,10.99,3.321061,0.773,-0.40491421,1,1,LP,1.0979105,0.26865639,0.8857647,0.18154174,0.081819217,0.3231033,0.39805572,0.0925741,18.53448,0.1927665,0.315118,2.235451,0.2742994,0.3511031,0.13047025,0.8070675,0.2918759,7.684772,0.078291967,4.100434,3.529749,0.04359972,2.47826,0.15792134,0.20063933,3.4072416,0.8389504,0.16136356,0.09432588,0.146949892,5.996583,0.21712603,0.2696443,14.302966,0.08463279,0.3447389,1.8233404,2.349792,25.90518,0.6880067,58.28141,47.2909,10.990511,4.302884,11.155912,0.597,non-piscivorous,1,NA,NA,NA,3,littoral 1,19,2,NA,NA,,,79.5,NA,NA,NA,NA,NA,NA,NA,19,0.414,0.191,0.281,0.165,blue,blue,LP,NA,0.198,0.107,0.695,0.141,0.094,0.252400475,2.38518603,4.319990234,2.523656267,28.63910519,19.8,10.7,69.5
13,L13,littoral,NA,b4,8.28,,92,-24.62,10.19,3.086409,0.218,-1.65454853,1,1,LL,1.063327,0.38494799,0.9794526,0.35165168,0.160017765,0.3345831,0.06577005,0.13332053,18.93868,0.2324337,0.4937476,3.011875,0.4036725,0.4573903,0.19461391,0.8684369,0.2343225,7.15734,0.10779368,4.967548,4.081118,0.06435953,2.55389,0.21792161,0.28040955,2.639583,1.0967493,0.15494383,0.08636444,0.18037192,6.678413,0.15659554,0.3464393,16.017393,0.15169429,0.4594851,1.323153,3.022039,20.81724,0.5791812,55.57176,44.09604,11.475723,3.84255,13.683235,0.359,non-piscivorous,NA,1,NA,NA,1,littoral 1,19,1,NA,NA,,,62.6,NA,NA,NA,NA,NA,NA,NA,19,0.193,0.141,0.066,0.068,green3,green3,LB,NA,0.183,0.558,0.259,0.151,0.184,0.15654073,2.398383119,3.117093837,2.783705845,28.80305233,18.3,55.8,25.9
14,L14R,littoral,NA,b13,18.17,,127,-27.18,10.81,3.267181,0.712,-0.19116872,2,2,LP,0.8870411,0.17684251,1.1596661,0.41429671,0.241832815,0.3975117,0.36568137,0.13034267,19.98848,0.3068718,0.5592844,2.706608,0.4499399,0.4252177,0.14243388,0.854374,0.2726714,6.485768,0.045924729,5.626104,2.991683,0.03815243,2.188404,0.12070866,0.15514515,3.3769329,1.8433239,0.15364246,0.09727362,0.12860728,7.66818,0.1663297,0.5216043,14.885002,0.10181536,0.5355712,1.4743702,2.462811,19.87928,0.6381614,55.28556,43.13528,12.150277,3.550148,13.094514,0.549,non-piscivorous,1,NA,NA,NA,3,littoral 2,17,2,NA,NA,,,66.71,106.41,NA,NA,NA,NA,NA,NA,17,0.427,0.209,0.227,0.161,blue,blue,LP,NA,0.217,0.129,0.654,0.165,0.124,0.26382191,1.941138836,2.592437841,3.092399505,29.26196628,21.7,12.9,65.4
15,L15,littoral,NA,b4,6.25,,83,-26.89,10.82,3.269677,0.675,0.38181224,1,1,LP,1.0930644,0.44521584,0.7684759,0.31996449,0.152670073,0.3541567,0.23257516,0.1049329,19.40975,0.2831353,0.4261,2.329808,0.4240312,0.4198775,0.15372174,0.8107146,0.2764958,7.328017,0.048604322,4.766613,3.624971,0.04350114,2.808609,0.13670773,0.18086768,2.4858526,1.0012142,0.14307289,0.10683084,0.195580046,7.196935,0.10262183,0.2590478,12.921801,0.11539435,0.4150669,2.0691868,1.943882,24.79919,0.8400207,56.37985,43.51361,12.866246,3.381997,12.33009,0.527,non-piscivorous,1,NA,NA,NA,3,littoral 1,19,2,NA,NA,,,53.18,NA,NA,NA,NA,NA,NA,NA,19,0.411,0.189,0.207,0.136,blue,blue,LP,NA,0.234,0.149,0.618,0.159,0.129,0.232845442,1.7954589,3.445798802,2.685320893,29.06628917,23.4,14.9,61.8
16,L16,littoral,NA,b3,9.97,,100,-26.88,11.82,3.564348,0.75,-2.50494663,1,1,LP,0.997,0.31463012,0.9575035,0.30803725,0.16489763,0.3406493,0.34233148,0.09174876,19.3048,0.2492952,0.4345733,2.336539,0.3432652,0.37179,0.13230241,0.8999977,0.29532,7.268727,0.048417565,4.633526,3.025698,0.04059569,2.458216,0.14124036,0.23123065,3.4814846,1.4352499,0.15848845,0.1071175,0.115151295,5.717321,0.14493472,0.3702317,13.104614,0.0910991,0.359352,2.2988412,2.00235,25.2095,0.9835678,56.92848,45.74836,11.180112,4.091941,11.514347,0.528,non-piscivorous,1,NA,NA,NA,3,littoral 1,19,2,NA,NA,,,73.01,NA,NA,NA,NA,NA,NA,NA,19,0.289,0.166,0.259,0.16,blue,blue,LP,NA,0.314,0.138,0.548,0.179,0.121,0.23055585,2.292089949,4.409320379,2.79299489,29.16250541,31.4,13.8,54.8
17,L17,littoral,NA,b3,11.95,,105,-27.09,11.48,3.464211,0.748,-1.94039666,1,1,LP,1.0322859,0.23156356,0.654242,0.19888021,0.082519862,0.3642227,0.30882036,0.09080468,19.78675,0.2545207,0.3519254,1.820845,0.4345756,0.3295011,0.12692034,0.908117,0.2534507,7.214777,0.049729811,4.466894,3.500825,0.04431835,2.031192,0.17358002,0.1332217,2.5220497,0.7735283,0.15371424,0.09504706,0.110037636,7.24553,0.1377915,0.2710928,12.727878,0.12567669,0.4496641,2.1247305,2.155531,26.58267,0.9444324,57.26491,45.17054,12.094376,3.734838,11.272132,0.544,non-piscivorous,1,NA,NA,NA,3,littoral 1,19,2,NA,NA,,,83.3,NA,NA,NA,NA,NA,NA,NA,19,0.332,0.176,0.257,0.156,blue,blue,LP,NA,0.278,0.133,0.589,0.172,0.117,0.235185034,1.756652446,3.6688372,2.583366272,29.38107965,27.8,13.3,58.9
18,L18,littoral,NA,b3,12.5,,106,-27.53,11.24,3.394679,0.767,-1.3254229,1,1,LP,1.0495241,0.25339246,1.1860002,0.5735842,0.330930631,0.4415794,0.21222557,0.16681522,19.48703,0.354827,0.6345806,2.70403,0.4837593,0.5743746,0.23033249,0.9792292,0.2879076,6.473267,0.065119955,5.249166,3.302362,0.04313506,2.168806,0.12080726,0.18130058,3.4374333,1.9918689,0.1480241,0.11749994,0.161737291,6.997537,0.16651231,0.4510831,13.118359,0.10592992,0.4625066,2.0006137,1.807948,22.01656,0.7652137,54.96227,42.98977,11.972502,3.590709,13.242387,0.576,non-piscivorous,1,NA,NA,NA,3,littoral 1,19,2,NA,NA,,,82.27,NA,NA,NA,NA,NA,NA,NA,19,0.371,0.184,0.283,0.165,blue,blue,LP,NA,0.231,0.115,0.654,0.156,0.101,0.247145706,1.874710916,3.146329916,3.629878571,28.94186708,23.1,11.5,65.4
19,L19,littoral,NA,b3,10.16,,98,-25.22,10.14,3.070292,0.275,-0.67088353,1,1,LL,1.0794822,0.39757459,0.8894462,0.34821924,0.182411892,0.3959326,0.53583284,0.16215209,18.284,0.2811412,0.4493328,2.780227,0.3807324,0.5641923,0.22802641,0.9918067,0.2670547,7.007679,0.175424069,4.457647,4.009309,0.07918329,2.413323,0.22437564,0.24678596,3.1363196,1.0656007,0.15983152,0.10448147,0.112203538,6.274691,0.26648267,0.3106658,14.011339,0.1182095,0.4958534,1.6372421,2.993087,23.22251,0.7372437,56.18611,45.00601,11.180099,4.025546,12.984533,0.4,non-piscivorous,NA,1,NA,NA,1,littoral 1,19,1,NA,NA,,,65.85,NA,NA,NA,NA,NA,NA,NA,19,0.237,0.164,0.076,0.078,green3,green3,LB,NA,0.188,0.499,0.313,0.156,0.197,0.181603965,2.232992668,3.700980654,3.632949712,28.07128116,18.8,49.9,31.3
20,L20,littoral,NA,b3,12.91,,103,-27.86,10.7,3.234752,0.76,0.26094621,1,1,LP,1.1814479,0.17085318,1.22843,0.5582713,0.312176612,0.4573422,0.26044565,0.15690725,19.17104,0.3315689,0.6437882,2.948822,0.419303,0.5476752,0.21130286,0.9303625,0.3023645,6.299619,0.065119258,5.637656,3.539607,0.05703577,2.464806,0.10934418,0.19909161,3.6778894,2.0850028,0.14458058,0.101064,0.158517321,6.650751,0.14696386,0.4390526,13.15677,0.08630435,0.4744413,1.9740057,1.883494,21.54339,0.6256938,54.85418,42.93256,11.921613,3.601238,14.046329,0.6,non-piscivorous,1,NA,NA,NA,3,littoral 1,19,2,NA,NA,,,86.82,NA,NA,NA,NA,NA,NA,NA,19,0.455,0.194,0.26,0.162,blue,blue,LP,NA,0.182,0.103,0.715,0.135,0.093,0.252744931,1.978238247,3.239241704,3.543827752,28.42702281,18.2,10.3,71.5
21,L21R,littoral,NA,b13,21.49,,132,-25.67,11.3,3.411105,0.668,-0.50463789,2,2,LL,0.9343608,0.27955685,0.6711096,0.13764872,0.044238196,0.3518964,0.17147779,0.06463157,20.4012,0.1962111,0.3007937,2.454595,0.4602491,0.1733605,0.06347998,0.7237343,0.1854468,7.128204,0.046245668,3.908245,4.106609,0.03756511,1.892714,0.24845103,0.14661197,2.0216988,0.6546917,0.1564662,0.07790521,0.107545795,7.952796,0.09027045,0.2684901,15.861913,0.1083806,0.5103466,1.4365412,3.773129,22.37005,0.6950503,57.0868,45.04024,12.046557,3.738848,11.773865,0.434,non-piscivorous,NA,1,NA,NA,2,littoral 2,17,2,NA,NA,,,77,99.81,NA,NA,NA,NA,NA,NA,17,0.177,0.149,0.112,0.115,green3,black,Pisc,1,0.366,0.344,0.289,0.215,0.192,0.188217959,1.994507718,2.812853492,1.978918486,29.78944213,36.6,34.4,28.9
22,L22,littoral,NA,b9,10.72,,105,-27.73,11.19,3.378488,0.783,-1.25915591,1,1,LP,0.9260339,0.29493059,1.1314371,0.39233691,0.213505436,0.3896339,0.26141231,0.10600427,20.15413,0.2903599,0.501581,2.355477,0.3943411,0.3934337,0.14975905,0.8638168,0.2371234,6.440816,0.048447569,4.716588,2.944457,0.03501099,1.937124,0.10521381,0.13231549,3.1034951,1.7606911,0.12782002,0.08559939,0.143518937,6.879821,0.1160972,0.402982,13.344428,0.07170127,0.4262655,2.0043194,1.896666,24.77931,0.6629665,56.92703,45.40367,11.523364,3.94014,11.608985,0.593,non-piscivorous,1,NA,NA,NA,3,littoral 1,19,2,NA,NA,,,78.18,NA,NA,NA,NA,NA,NA,NA,19,0.377,0.186,0.296,0.166,blue,blue,LP,NA,0.217,0.11,0.673,0.146,0.096,0.249303028,1.939647558,3.601737603,2.875116186,29.2845689,21.7,11,67.3
23,L23,littoral,NA,b9,20.43,,127,-24.61,11.63,3.509869,0.648,2.26040652,2,2,LL,0.9973721,0.23680007,0.6001716,0.13018237,0.031081743,0.3892436,0.47767123,0.0588761,19.85259,0.1580176,0.2952858,2.934374,0.4976333,0.2280634,0.1101611,0.8397682,0.2975697,7.399175,0.064869043,3.949145,4.626534,0.03233195,2.390158,0.19936732,0.15432625,1.8755192,0.3909551,0.15379462,0.06176179,0.093804914,8.820548,0.10913652,0.196006,17.416189,0.10982644,0.5443223,1.22744,3.432716,19.37781,0.4735727,56.02893,42.79833,13.230599,3.234799,12.917522,0.357,non-piscivorous,NA,1,NA,NA,2,littoral 2,17,1,NA,NA,,,66.01,100.22,NA,NA,NA,NA,NA,NA,17,0.119,0.103,0.082,0.088,green3,black,Pisc,1,0.396,0.403,0.201,0.224,0.212,0.135473245,1.974501924,2.196894116,2.464415063,29.54393678,39.6,40.3,20.1
24,L24,littoral,NA,b9,18.08,,128,-25.35,12.06,3.634195,0.699,-1.54283539,2,2,LL,0.8621216,0.43486878,0.6914235,0.18231324,0.047308014,0.4263598,0.44712685,0.08331425,19.46614,0.1973549,0.3777819,3.187952,0.5652556,0.2627172,0.12906738,0.9384845,0.3858907,7.376752,0.064962218,4.969735,4.527675,0.04800419,2.582838,0.23526852,0.12551339,2.1376351,0.3798042,0.17465889,0.11157158,0.096897208,8.065285,0.09585287,0.2011676,16.971516,0.10703568,0.4625813,1.2977794,2.612735,19.37096,0.5952833,54.40057,41.76967,12.630895,3.306945,14.436182,0.404,non-piscivorous,NA,1,NA,NA,2,littoral 2,17,2,NA,NA,,,64.27,82.86,NA,NA,NA,NA,NA,NA,17,0.132,0.112,0.106,0.112,green3,black,Pisc,1,0.445,0.317,0.238,0.221,0.189,0.158391919,2.104267363,2.401770055,2.751959754,29.41612289,44.5,31.7,23.8
25,L25,littoral,NA,b9,12.35,,105,-23.74,9.37,2.844236,0.067,-0.83108475,1,1,LL,1.0668394,0.42896809,0.8781609,0.21683752,0.078527575,0.3985005,0.81291924,0.23388764,18.36689,0.2822968,0.3615157,2.734256,0.4305289,0.8695875,0.3498129,0.9969238,0.2219368,7.25864,0.416505982,3.515006,4.352121,0.13138161,2.049653,0.27259816,0.16304351,1.8556861,0.4973685,0.16208878,0.06994087,0.058327231,6.376623,0.40963686,0.3789905,15.614966,0.12534817,0.644495,1.3683372,4.361665,22.27564,0.4093493,56.05444,45.39396,10.66048,4.258153,12.51549,0.29,non-piscivorous,NA,1,NA,NA,1,littoral 1,19,1,NA,NA,,,68.37,NA,NA,NA,NA,NA,NA,NA,19,0.158,0.127,0.043,0.045,green3,green3,LB,NA,0.124,0.676,0.201,0.124,0.168,0.13473678,2.448783,3.493328679,4.229594835,28.45915031,12.4,67.6,20.1
26,L26R,littoral,NA,b13,10.13,,99,-24.37,9.48,2.877139,0.101,-0.38185066,1,1,LL,1.0440081,0.33836076,0.9023194,0.3052655,0.130907983,0.3874548,1.04655769,0.22743356,19.52901,0.3059164,0.4237484,2.562328,0.3936144,0.76987,0.30396281,0.9086294,0.2562866,7.038969,0.321344102,4.098378,3.581238,0.0813846,1.809099,0.25188984,0.1343106,1.8377731,0.6475609,0.1412106,0.08430452,0.06720959,6.529847,0.36722998,0.3965253,14.736161,0.10961606,0.6496435,1.5374362,3.869394,22.80262,0.4535498,55.38481,44.65727,10.727546,4.162859,12.108542,0.33,non-piscivorous,NA,1,NA,NA,1,littoral 1,19,1,NA,NA,,,70.58,NA,NA,NA,NA,NA,NA,NA,19,0.203,0.154,0.05,0.052,green3,green3,LB,NA,0.134,0.613,0.253,0.126,0.183,0.162542302,2.256739094,3.492060381,4.331971583,29.2690991,13.4,61.3,25.3
27,L27,littoral,NA,b8,10.45,,98,-24.71,9.91,3.003707,0.167,1.34052424,1,1,LL,1.1102942,0.3664158,0.8293866,0.3245178,0.121337004,0.3871087,0.37338595,0.09587278,19.86834,0.203722,0.3887539,3.221457,0.4797076,0.35261,0.13087339,1.0404188,0.3632085,7.309034,0.047247046,5.006638,5.086879,0.03668804,2.696699,0.2458125,0.203319,3.1336894,0.8987418,0.16201491,0.08580263,0.138907559,6.362444,0.10888919,0.2389624,15.523227,0.1602723,0.4084206,1.155503,2.147684,20.01272,0.6497106,53.0292,42.06391,10.965293,3.836095,14.920104,0.362,non-piscivorous,NA,1,NA,NA,1,littoral 1,19,1,NA,NA,,,67.94,NA,NA,NA,NA,NA,NA,NA,19,0.215,0.157,0.062,0.063,green3,green3,LB,NA,0.171,0.552,0.277,0.153,0.195,0.169168555,2.439821396,3.145445367,3.071936924,30.00238781,17.1,55.2,27.7
28,L28,littoral,NA,b8,14.52,,107,-27.43,10.78,3.2589,0.718,-3.33513575,1,1,LP,1.1852645,0.26668938,1.2287078,0.43299667,0.241325215,0.4323881,0.34739635,0.11939372,19.79817,0.3228336,0.5799257,2.667839,0.4252831,0.4284951,0.15458557,0.9360768,0.2545135,6.224266,0.038697682,5.55865,3.199209,0.03729151,2.249116,0.09753873,0.14897838,3.5010077,1.8781351,0.11324118,0.08797821,0.178189362,6.99185,0.15172748,0.4793795,13.752586,0.11456693,0.4930534,1.7741796,2.203067,21.43948,0.9178838,55.24075,43.40538,11.835368,3.66743,13.172221,0.572,non-piscivorous,1,NA,NA,NA,3,littoral 1,19,2,NA,NA,,,81.95,NA,NA,NA,NA,NA,NA,NA,19,0.433,0.194,0.238,0.151,blue,blue,LP,NA,0.207,0.122,0.671,0.147,0.11,0.245839378,1.966945229,3.066352968,3.190196255,28.94495554,20.7,12.2,67.1
